RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
97220,1022,93304,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County
94953,1023,85379,zip,AZ,AZ,Surprise,"Phoenix-Mesa-Chandler, AZ",Maricopa County
91994,1024,77511,zip,TX,TX,Alvin,"Houston-The Woodlands-Sugar Land, TX",Brazoria County
62016,1025,11205,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County
95771,1026,89032,zip,NV,NV,North Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County
70022,1026,28546,zip,NC,NC,Jacksonville,"Jacksonville, NC",Onslow County
98004,1028,95136,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County
66668,1028,20854,zip,MD,MD,Potomac,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
97548,1030,94086,zip,CA,CA,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County
89707,1031,72701,zip,AR,AR,Fayetteville,"Fayetteville-Springdale-Rogers, AR",Washington County
86020,1032,63366,zip,MO,MO,O Fallon,"St. Louis, MO-IL",Saint Charles County
69779,1033,28216,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County
78467,1033,47150,zip,IN,IN,New Albany,"Louisville/Jefferson County, KY-IN",Floyd County
70844,1035,30064,zip,GA,GA,Marietta,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County
74746,1036,38305,zip,TN,TN,Jackson,"Jackson, TN",Madison County
58945,1037,02860,zip,RI,RI,Pawtucket,"Providence-Warwick, RI-MA",Providence County
72718,1038,33615,zip,FL,FL,Town 'n' Country,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County
98118,1039,95336,zip,CA,CA,Manteca,"Stockton, CA",San Joaquin County
71915,1040,32304,zip,FL,FL,Tallahassee,"Tallahassee, FL",Leon County
70875,1041,30097,zip,GA,GA,Duluth,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
73162,1042,34668,zip,FL,FL,Port Richey,"Tampa-St. Petersburg-Clearwater, FL",Pasco County
93309,1043,80233,zip,CO,CO,Thornton,"Denver-Aurora-Lakewood, CO",Adams County
399655,1044,85286,zip,AZ,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County
98011,1046,95148,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County
72161,1047,32712,zip,FL,FL,Apopka,"Orlando-Kissimmee-Sanford, FL",Orange County
99947,1048,98661,zip,WA,WA,Vancouver,"Portland-Vancouver-Hillsboro, OR-WA",Clark County
72540,1049,33321,zip,FL,FL,Tamarac,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
79044,1050,48185,zip,MI,MI,Westland,"Detroit-Warren-Dearborn, MI",Wayne County
96190,1050,90638,zip,CA,CA,La Mirada,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
73220,1052,34786,zip,FL,FL,Windermere,"Orlando-Kissimmee-Sanford, FL",Orange County
67723,1053,23455,zip,VA,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City
82230,1054,55379,zip,MN,MN,Shakopee,"Minneapolis-St. Paul-Bloomington, MN-WI",Scott County
69491,1055,27707,zip,NC,NC,Durham,"Durham-Chapel Hill, NC",Durham County
65369,1056,18104,zip,PA,PA,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County
87190,1057,66502,zip,KS,KS,Manhattan,"Manhattan, KS",Riley County
67590,1058,23188,zip,VA,VA,Williamsburg,"Virginia Beach-Norfolk-Newport News, VA-NC",James City County
93315,1059,80239,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County
94430,1060,84065,zip,UT,UT,Riverton,"Salt Lake City, UT",Salt Lake County
70377,1061,29223,zip,SC,SC,Columbia,"Columbia, SC",Richland County
90613,1062,75006,zip,TX,TX,Carrollton,"Dallas-Fort Worth-Arlington, TX",Dallas County
96669,1063,92128,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County
92013,1064,77539,zip,TX,TX,Dickinson,"Houston-The Woodlands-Sugar Land, TX",Galveston County
81289,1065,53209,zip,WI,WI,Milwaukee,"Milwaukee-Waukesha, WI",Milwaukee County
94142,1066,83401,zip,ID,ID,Idaho Falls,"Idaho Falls, ID",Bonneville County
99527,1067,98042,zip,WA,WA,Covington,"Seattle-Tacoma-Bellevue, WA",King County
77940,1069,46060,zip,IN,IN,Noblesville,"Indianapolis-Carmel-Anderson, IN",Hamilton County
69372,1070,27513,zip,NC,NC,Cary,"Raleigh-Cary, NC",Wake County
96341,1071,91306,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County
61186,1072,08816,zip,NJ,NJ,East Brunswick,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County
72261,1073,32837,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County
97365,1074,93619,zip,CA,CA,Clovis,"Fresno, CA",Fresno County
